Record ID,Agency Code,Agency Name,Agency Type,City,State,Year,Month,Incident,Crime Type,Crime Solved,Victim Sex,Victim Age,Victim Race,Victim Ethnicity,Perpetrator Sex,Perpetrator Age,Perpetrator Race,Perpetrator Ethnicity,Relationship,Weapon,Victim Count,Perpetrator Count,Record Source
92955,MI73717,Saginaw,Municipal Police,Saginaw,Michigan,1984,July,2,Murder or Manslaughter,Yes,Male,26,Black,Not Hispanic,Male,23,Black,Not Hispanic,Acquaintance,Knife,0,0,FBI
160901,CA00109,Oakland,Municipal Police,Alameda,California,1988,April,7,Murder or Manslaughter,Yes,Male,25,Black,Not Hispanic,Male,22,Black,Not Hispanic,Stranger,Fire,0,0,FBI
560524,OK04500,Mccurtain,Sheriff,McCurtain,Oklahoma,2009,April,1,Murder or Manslaughter,Yes,Female,52,White,Not Hispanic,Male,31,White,Not Hispanic,Friend,Knife,0,0,FBI
428330,NY05928,Tarrytown Village,Municipal Police,Westchester,New York,2001,April,1,Murder or Manslaughter,Yes,Male,61,White,Unknown,Male,32,Black,Unknown,Stranger,Handgun,0,2,FBI
322921,KY078SP,State Police: Marion County,State Police,Marion,Kentucky,1995,March,1,Murder or Manslaughter,Yes,Male,50,White,Unknown,Male,36,White,Unknown,Unknown,Handgun,1,0,FBI
90689,ID01400,Canyon,Sheriff,Canyon,Idaho,1984,August,1,Murder or Manslaughter,Yes,Female,40,White,Not Hispanic,Male,46,White,Hispanic,Girlfriend,Handgun,0,0,FBI
73889,MDBPD00,Baltimore,Municipal Police,Baltimore city,Maryland,1983,November,1,Murder or Manslaughter,Yes,Male,22,White,Not Hispanic,Male,23,Black,Not Hispanic,Stranger,Handgun,0,0,FBI
116681,PA06703,Spring Garden Township,Municipal Police,York,Pennsylvania,1985,October,1,Murder or Manslaughter,Yes,Male,48,White,Not Hispanic,Female,48,White,Not Hispanic,Husband,Handgun,0,0,FBI
610845,CA00100,Alameda County,Sheriff,Alameda,California,2012,May,1,Murder or Manslaughter,No,Male,27,White,Not Hispanic,Unknown,0,Unknown,Unknown,Unknown,Knife,0,0,FBI
388410,AZ01003,Tucson,Municipal Police,Pima,Arizona,1999,April,2,Murder or Manslaughter,Yes,Male,62,White,Hispanic,Male,23,White,Hispanic,Acquaintance,Knife,0,0,FBI
202466,CA03404,Sacramento,Municipal Police,Sacramento,California,1990,March,2,Murder or Manslaughter,Yes,Male,24,Unknown,Unknown,Male,20,White,Hispanic,Stranger,Shotgun,0,1,FBI
486374,FL01306,Miami,Municipal Police,Dade,Florida,2005,November,955,Murder or Manslaughter,No,Male,42,White,Unknown,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FOIA
616308,MI41436,Grand Rapids,Municipal Police,Kent,Michigan,2012,December,3,Murder or Manslaughter,Yes,Female,31,Black,Unknown,Male,27,Black,Unknown,Acquaintance,Handgun,0,0,FBI
625690,CA03001,Anaheim,Municipal Police,Orange,California,2014,July,1,Murder or Manslaughter,Yes,Male,32,White,Hispanic,Male,45,White,Hispanic,Stranger,Handgun,0,0,FBI
277895,MDBPD00,Baltimore,Municipal Police,Baltimore city,Maryland,1993,March,18,Murder or Manslaughter,No,Female,74,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Blunt Object,0,0,FBI
498258,WA01702,Bellevue,Municipal Police,King,Washington,2005,May,1,Murder or Manslaughter,Yes,Female,33,White,Unknown,Male,29,White,Unknown,Stranger,Blunt Object,0,0,FBI
481051,UT02500,Utah,Sheriff,Utah,Utah,2004,February,1,Murder or Manslaughter,Yes,Female,1,White,Unknown,Female,13,White,Unknown,Unknown,Blunt Object,0,0,FBI
613343,GA02901,Athens-Clarke County,Municipal Police,Clarke,Georgia,2012,October,2,Murder or Manslaughter,No,Male,26,Black,Not Hispanic,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
610084,WIMPD00,Milwaukee,Municipal Police,Milwaukee,Wisconsin,2013,February,5,Murder or Manslaughter,Yes,Male,33,Black,Unknown,Male,33,Black,Unknown,Unknown,Handgun,0,0,FBI
